citing_doi,ref_doi,ref_key,ref_author,ref_year,ref_title,ref_journal,raw,citing_affiliations,citing_affiliation_countries,citing_latitude_mean,citing_longitude_mean,citing_affiliation_locations_json,citing_journal_name,row_type,doi,cited_by_count,publication_year,counts_by_year_json,open_access_json,best_oa_location_json,updated_utc
,,,,,,,,,,,,,,cache,10.1007/s11661-017-4031-z,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1007/s11661-025-07705-8,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1007/s13632-023-01036-z,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1007/s13632-024-01124-8,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1007/s40192-025-00403-8,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1016/j.actamat.2023.119401,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1016/j.ijrmhm.2022.105968,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1016/j.ijrmhm.2023.106462,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1016/j.mtla.2023.101688,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.1016/j.scriptamat.2017.04.018,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.3390/cryst12020156,0,,[],{},{},2026-05-24T20:26:54Z
,,,,,,,,,,,,,,cache,10.3390/ma16041549,0,,[],{},{},2026-05-24T20:26:54Z
