citing_doi,ref_doi,ref_key,ref_author,ref_year,ref_title,ref_journal,raw,citing_affiliations,citing_affiliation_countries,citing_latitude_mean,citing_longitude_mean,citing_affiliation_locations_json,citing_affiliation_cities,citing_affiliation_states,citing_journal_name,citing_doi_norm
10.1002/adem.202500508,10.1017/S0022112091001817,e_1_2_9_25_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,,e_1_2_9_26_1,An Y. K.,2021.0,,J. Res. Technol.,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.jallcom.2021.159036,e_1_2_9_27_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.jallcom.2018.09.228,e_1_2_9_28_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,,e_1_2_9_29_1,Kurz W.,1992.0,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1088/0022-3727/1/3/305,e_1_2_9_30_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1007/s11661-997-0268-2,e_1_2_9_31_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.msea.2018.11.141,e_1_2_9_32_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1080/09506608.2016.1191808,e_1_2_9_33_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,,e_1_2_9_34_1,Sun S.,2022.0,,Mater. Sci. Eng. A,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1007/BF02642938,e_1_2_9_35_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.actamat.2018.11.021,e_1_2_9_36_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.matchar.2023.112730,e_1_2_9_37_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
10.1002/adem.202500508,10.1016/j.jallcom.2006.06.019,e_1_2_9_38_1,,,,,,Northwestern Polytechnical University,CN,34.258331298828125,108.9286117553711,"[{""affiliation"": ""Northwestern Polytechnical University"", ""country"": ""CN"", ""latitude"": 34.258331298828125, ""longitude"": 108.9286117553711, ""city"": ""Northwestern Polytechnical University"", ""state"": """", ""source"": ""row_based""}]",Northwestern Polytechnical University,,Advanced Engineering Materials,10.1002/adem.202500508
